title,description
Interstellar,space science fiction astronauts future adventure
Inception,science fiction dreams technology thriller mind bending
The Martian,space science fiction astronaut survival mars adventure
Arrival,science fiction aliens language space mystery
The Matrix,science fiction technology artificial intelligence action
Avatar,science fiction space aliens adventure fantasy
Titanic,romance drama ship ocean historical tragedy
The Notebook,romance relationship love drama emotional
Avengers: Endgame,superhero action marvel time travel adventure
Iron Man,superhero action technology marvel engineering
Jurassic Park,dinosaurs science adventure action island
The Dark Knight,superhero action crime batman thriller
